chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
chr10	100099178	100099179	AluID:187253	chr10:102682400:102682401	+	19	-0.91	15	12	15
chr10	100549243	100549244	AluID:187304	chr10:103117883:103117884	+	21	-0.46	12	5	12
chr10	100598452	100598453	AluID:187350	chr10:103168070:103168071	+	19	-2.76	7	7	6
chr10	100814118	100814119	AluID:187428	chr10:103381278:103381279	-	21	-4.22	8	8	7
chr10	101072045	101072046	AluID:187493	chr10:103629798:103629799	-	19	0.88	6	5	6
chr10	101210528	101210529	AluID:187581	-1	-	20	-20.68	7	7	5
chr10	101488765	101488766	AluID:187663	chr10:104038052:104038053	+	21	-11.03	19	19	6
chr10	101497840	101497841	AluID:187665	chr10:104047131:104047132	+	19	-4.01	17	17	3
chr10	101551987	101551988	AluID:187695	chr10:104100349:104100350	+	22	6.37	7	7	5
chr10	101571166	101571167	AluID:187702	chr10:104119549:104119550	+	22	-4.73	16	16	4
chr10	101715728	101715729	AluID:187740	chr10:104260830:104260831	-	22	-3.54	9	9	6
chr10	101973430	101973431	AluID:187842	chr10:104514184:104514185	+	22	-17.13	8	8	5
chr10	102014706	102014707	AluID:187877	chr10:104550286:104550287	+	21	-0.26	7	5	7
chr10	102256601	102256602	AluID:188002	chr10:104782683:104782684	+	19	3.60	10	10	6
chr10	102383246	102383247	AluID:188043	chr10:104911215:104911216	-	22	3.94	18	18	5
chr10	102419757	102419758	AluID:188079	-1	-	20	-6.51	7	7	5
chr10	102618087	102618088	AluID:188144	chr10:105140738:105140739	+	19	-13.93	6	6	5
chr10	102619632	102619633	AluID:188147	chr10:105142281:105142282	+	21	-11.74	9	4	9
chr10	102644717	102644718	AluID:188166	chr10:105167357:105167358	+	21	-13.64	9	4	9
chr10	102658022	102658023	AluID:188180	chr10:105180642:105180643	+	21	-5.79	8	8	5
chr10	102662519	102662520	AluID:188182	chr10:105185452:105185453	+	22	3.02	8	8	5
chr10	102794117	102794118	AluID:188225	chr10:105317674:105317675	+	22	-3.31	7	7	6
chr10	102803192	102803193	AluID:188229	chr10:105326747:105326748	+	18	-5.74	16	16	5
chr10	102803615	102803616	AluID:188230	1	+	20	-9.93	7	7	6
chr10	102871016	102871017	AluID:188240	chr10:105391014:105391015	-	21	-6.95	5	3	5
chr10	103535056	103535057	AluID:188354	chr10:106046840:106046841	+	22	-26.51	5	4	5
chr10	104186112	104186113	AluID:188401	chr10:106693598:106693599	+	18	5.34	6	6	5
chr10	104195405	104195406	AluID:188402	chr10:106702914:106702915	+	19	-27.89	9	9	4
chr10	106100634	106100635	AluID:188486	chr10:108569971:108569972	-	19	-3.41	13	13	5
chr10	106105324	106105325	AluID:188488	chr10:108574672:108574673	-	21	2.79	26	26	7
chr10	106312371	106312372	AluID:188550	chr10:108776258:108776259	-	19	2.36	10	10	5
chr10	106429503	106429504	AluID:188567	chr10:108883848:108883849	-	19	-5.44	17	17	11
chr10	109390239	109390240	AluID:188602	chr10:111796153:111796154	+	22	-5.02	14	14	11
chr10	109639046	109639047	AluID:188640	chr10:112043042:112043043	+	19	1.58	15	15	10
chr10	109950174	109950175	AluID:188646	chr10:112342710:112342711	+	19	7.89	29	29	7
chr10	111783932	111783933	AluID:188726	chr10:114159989:114159990	+	18	10.64	13	8	13
chr10	112037602	112037603	AluID:188770	chr10:114414254:114414255	+	19	0.92	7	6	7
chr10	112360392	112360393	AluID:188817	chr10:114731397:114731398	+	18	-5.17	13	13	5
chr10	113297730	113297731	AluID:188914	chr10:115648604:115648605	+	21	4.78	20	20	5
chr10	113602596	113602597	AluID:188947	chr10:115950258:115950259	+	19	-8.50	7	7	5
chr10	113641643	113641644	AluID:188962	chr10:115989326:115989327	+	18	1.64	14	14	8
chr10	113761357	113761358	AluID:188994	-1	-	20	-7.40	20	20	5
chr10	113913443	113913444	AluID:189018	chr10:116254276:116254277	-	22	-7.37	9	4	9
chr10	114554618	114554619	AluID:189107	1	+	20	-8.36	7	7	5
chr10	114744053	114744054	AluID:189132	1	+	20	2.30	22	22	5
chr10	115192081	115192082	AluID:189184	chr10:117524191:117524192	+	21	0.81	7	7	7
chr10	115514582	115514583	AluID:189202	-1	-	20	-6.18	25	25	6
chr10	115765036	115765037	AluID:189225	chr10:118096687:118096688	+	21	10.60	22	22	5
chr10	116161086	116161087	AluID:189254	chr10:118493963:118493964	-	19	-5.73	20	20	5
chr10	116438837	116438838	AluID:189286	-1	-	20	-5.74	28	28	4
chr10	116476040	116476041	AluID:189302	-1	-	20	-1.40	6	3	6
chr10	116525216	116525217	AluID:189320	chr10:118853035:118853036	-	18	-3.44	16	6	16
chr10	11704818	11704819	AluID:175448	chr10:11592758:11592759	-	19	-0.81	7	7	5
chr10	11732618	11732619	AluID:175454	chr10:11620600:11620601	-	19	-5.19	8	8	4
chr10	118184469	118184470	AluID:189397	-1	-	20	0.03	5	5	5
chr10	118487381	118487382	AluID:189415	chr10:120803386:120803387	-	21	-18.94	NA	7	NA
chr10	118563862	118563863	AluID:189464	chr10:120880835:120880836	+	19	1.03	24	7	24
chr10	118594149	118594150	AluID:189487	-1	-	20	-0.36	7	7	6
chr10	118827473	118827474	AluID:189552	1	+	20	-14.27	13	12	13
chr10	1192187	1192188	AluID:174826	chr10:1151753:1151754	+	18	-17.85	8	8	6
chr10	119220599	119220600	AluID:189640	1	+	20	3.20	9	9	6
chr10	119241464	119241465	AluID:189648	chr10:121553173:121553174	+	22	-8.76	8	8	6
chr10	119926549	119926550	AluID:189721	chr10:122223345:122223346	+	21	-0.62	8	8	6
chr10	120328811	120328812	AluID:189732	chr10:122618789:122618790	+	22	-5.68	14	14	6
chr10	1204338	1204339	AluID:174830	chr10:1163011:1163012	+	21	-0.39	7	7	6
chr10	12086777	12086778	AluID:175499	chr10:11971134:11971135	-	18	-2.80	7	6	7
chr10	121378035	121378036	AluID:189819	chr10:123645422:123645423	-	21	-4.08	5	5	5
chr10	121409804	121409805	AluID:189843	chr10:123675414:123675415	-	19	2.91	8	8	8
chr10	121412249	121412250	AluID:189847	chr10:123677842:123677843	-	22	3.36	22	22	5
chr10	12189337	12189338	AluID:175564	-1	-	20	-5.74	23	23	5
chr10	12233677	12233678	AluID:175590	chr10:12117556:12117557	+	21	6.53	6	6	6
chr10	12246874	12246875	AluID:175600	chr10:12130610:12130611	+	18	-12.17	6	3	6
chr10	122527635	122527636	AluID:190050	chr10:124813588:124813589	+	18	6.15	7	7	5
chr10	12255402	12255403	AluID:175611	1	+	20	-1.66	6	6	6
chr10	123308301	123308302	AluID:190068	chr10:125574531:125574532	-	19	-13.37	6	6	6
chr10	123331551	123331552	AluID:190071	chr10:125597968:125597969	-	22	9.66	5	5	5
chr10	12388596	12388597	AluID:175703	chr10:12265296:12265297	+	22	-8.28	7	7	5
chr10	124009360	124009361	AluID:190111	chr10:126156094:126156095	+	21	-3.71	13	8	13
chr10	124014308	124014309	AluID:190116	1	+	20	-6.35	22	22	5
chr10	124311504	124311505	AluID:190181	chr10:126451154:126451155	-	22	-1.12	5	5	5
chr10	124621017	124621018	AluID:190263	chr10:126747207:126747208	-	22	-6.78	5	5	3
chr10	125489507	125489508	AluID:190350	chr10:127598094:127598095	+	21	-3.54	22	7	22
chr10	125554647	125554648	AluID:190372	1	+	20	-5.72	15	15	5
chr10	126066962	126066963	AluID:190415	-1	-	20	-17.77	6	6	6
chr10	126225322	126225323	AluID:190439	chr10:128312409:128312410	-	21	1.65	14	14	5
chr10	12698365	12698366	AluID:175823	chr10:12565907:12565908	+	19	-5.61	NA	7	NA
chr10	127714944	127714945	AluID:190559	chr10:129836088:129836089	+	18	-11.91	11	11	7
chr10	127731428	127731429	AluID:190561	chr10:129852035:129852036	+	21	-8.32	6	6	5
chr10	12834731	12834732	AluID:175884	chr10:12693802:12693803	+	18	-4.46	14	14	7
chr10	12883538	12883539	AluID:175898	1	+	20	3.39	9	9	5
chr10	12953628	12953629	AluID:175920	chr10:12809904:12809905	+	18		NA	NA	5
chr10	129835533	129835534	AluID:190602	chr10:131936340:131936341	+	19	3.06	5	4	5
chr10	131560081	131560082	AluID:190639	chr10:133615796:133615797	-	19	-4.90	4	4	3
chr10	13170004	13170005	AluID:175960	-1	-	20	-6.20	9	9	5
chr10	131940698	131940699	AluID:190648	chr10:133927741:133927742	+	22	1.55	7	3	7
chr10	132374472	132374473	AluID:190694	chr10:134374122:134374123	+	19	7.41	12	12	4
chr10	133106349	133106350	AluID:190730	chr10:135101245:135101246	-	21	1.31	11	11	5
chr10	13325610	13325611	AluID:176025	1	+	20	-5.63	9	9	5
chr10	13714340	13714341	AluID:176115	chr10:13554262:13554263	-	21	-4.95	NA	7	NA
chr10	14105225	14105226	AluID:176216	chr10:13941155:13941156	-	21	1.92	8	4	8
chr10	14105735	14105736	AluID:176217	chr10:13941658:13941659	-	19	-6.10	6	6	5
chr10	14109111	14109112	AluID:176220	-1	-	20	-14.85	7	4	7
chr10	14201644	14201645	AluID:176247	-1	-	20	-5.74	30	30	5
chr10	14259150	14259151	AluID:176263	chr10:14091858:14091859	-	18	-8.07	5	4	5
chr10	14263271	14263272	AluID:176264	chr10:14095991:14095992	-	21	-16.50	7	7	7
chr10	14334108	14334109	AluID:176282	chr10:14166652:14166653	-	21	-5.73	5	2	5
chr10	14634056	14634057	AluID:176346	chr10:14453026:14453027	-	22	2.01	16	16	15
chr10	14851771	14851772	AluID:176384	chr10:14666623:14666624	-	18	-10.00	10	10	5
chr10	14886762	14886763	AluID:176398	chr10:14701457:14701458	-	19	-0.04	6	6	5
chr10	14960697	14960698	AluID:176417	chr10:14773549:14773550	-	18	-19.49	6	6	5
chr10	15065609	15065610	AluID:176435	chr10:14869888:14869889	-	19	4.85	6	6	5
chr10	15133344	15133345	AluID:176457	chr10:14937948:14937949	+	22	-0.55	13	13	5
chr10	15497476	15497477	AluID:176537	chr10:15105155:15105156	+	21	-11.83	4	4	4
chr10	15512633	15512634	AluID:176544	-1	-	20	-8.90	6	6	5
chr10	15550482	15550483	AluID:176573	1	+	20	-6.51	28	28	5
chr10	15568114	15568115	AluID:176587	chr10:15171907:15171908	-	22	0.94	14	14	5
chr10	15809654	15809655	AluID:176668	chr10:15404723:15404724	-	22	2.02	5	5	5
chr10	16016221	16016222	AluID:176690	chr10:15609162:15609163	-	18	-6.40	15	15	5
chr10	16031283	16031284	AluID:176693	chr10:15624244:15624245	-	19	-5.43	8	8	4
chr10	1645173	1645174	AluID:174852	chr10:1598131:1598132	-	22	-5.24	6	6	5
chr10	16896657	16896658	AluID:176734	chr10:16486017:16486018	+	22	2.79	20	20	5
chr10	16929575	16929576	AluID:176755	chr10:16518917:16518918	+	21	-5.74	25	25	5
chr10	17866962	17866963	AluID:176915	-1	-	20	1.19	19	19	4
chr10	18116638	18116639	AluID:176946	1	+	20	0.28	10	10	8
chr10	18125266	18125267	AluID:176949	chr10:17709147:17709148	+	21	3.01	14	14	5
chr10	18242932	18242933	AluID:177037	chr10:18071451:18071452	+	18	0.66	5	5	5
chr10	18246834	18246835	AluID:176978	chr10:17828373:17828374	+	22	3.03	6	6	4
chr10	18273522	18273523	AluID:176985	chr10:17855719:17855720	+	21	4.19	18	18	7
chr10	18478117	18478118	AluID:177086	chr10:18302334:18302335	+	21	-6.87	6	2	6
chr10	18683641	18683642	AluID:177112	chr10:18508721:18508722	+	21	2.23	12	12	5
chr10	18798140	18798141	AluID:177136	chr10:18614720:18614721	+	21	-10.06	6	3	6
chr10	18803369	18803370	AluID:177141	chr10:18619942:18619943	+	19	-9.84	18	18	5
chr10	18955991	18955992	AluID:177213	chr10:18771447:18771448	+	21	-1.26	7	7	6
chr10	19630704	19630705	AluID:177295	chr10:19641948:19641949	+	19	-5.15	9	9	6
chr10	19746406	19746407	AluID:177310	chr10:19756750:19756751	+	18	-13.82	10	10	5
chr10	19976543	19976544	AluID:177337	chr10:19977235:19977236	+	19	-10.45	6	3	6
chr10	20145280	20145281	AluID:177361	chr10:20142380:20142381	+	21	-17.94	5	5	3
chr10	21349852	21349853	AluID:177477	-1	-	20	-2.79	6	5	6
chr10	21390357	21390358	AluID:177489	-1	-	20	-2.19	6	6	6
chr10	21420665	21420666	AluID:177504	chr10:21383128:21383129	-	19	-3.69	6	5	6
chr10	21425594	21425595	AluID:177508	chr10:21388057:21388058	-	19	-1.40	11	5	11
chr10	21886290	21886291	AluID:177546	chr10:21835971:21835972	+	19	-3.95	8	5	8
chr10	21886670	21886671	AluID:177547	chr10:21836352:21836353	+	18	9.49	16	16	9
chr10	21948928	21948929	AluID:177623	chr10:21894391:21894392	+	21	-0.05	7	7	6
chr10	22044924	22044925	AluID:177666	1	+	20	1.15	5	5	5
chr10	22057963	22057964	AluID:177674	1	+	20	-5.26	7	5	7
chr10	22138876	22138877	AluID:177692	chr10:22082211:22082212	-	19	-18.16	5	2	5
chr10	22298536	22298537	AluID:177736	-1	-	20	-6.20	7	2	7
chr10	23021226	23021227	AluID:177800	chr10:22963894:22963895	-	18	8.26	16	16	4
chr10	24113253	24113254	AluID:177882	chr10:24026158:24026159	+	22	-15.20	17	9	17
chr10	24454081	24454082	AluID:177928	chr10:24358774:24358775	+	18	-5.76	7	6	7
chr10	24530023	24530024	AluID:177946	chr10:24432218:24432219	+	19	-5.32	6	6	5
chr10	24716843	24716844	AluID:178009	chr10:24611877:24611878	+	22	11.40	6	6	5
chr10	24731479	24731480	AluID:178018	1	+	20	-4.15	23	23	6
chr10	24878803	24878804	AluID:178068	chr10:24773521:24773522	+	18	-12.17	5	5	5
chr10	24885510	24885511	AluID:178069	chr10:24780226:24780227	+	22	-6.13	19	19	5
chr10	25010301	25010302	AluID:174632	chr10:24903706:24903707	-	18	2.67	15	15	5
chr10	25109067	25109068	AluID:178125	-1	-	20	-8.27	5	5	5
chr10	25260107	25260108	AluID:178136	chr10:25154044:25154045	-	21	1.12	5	5	5
chr10	26420066	26420067	AluID:178238	chr10:26308219:26308220	+	19	-17.52	6	5	6
chr10	26585582	26585583	AluID:178263	1	+	20	-7.82	21	21	10
chr10	26899815	26899816	AluID:178319	chr10:26783945:26783946	+	18	-7.40	15	15	5
chr10	26932609	26932610	AluID:178333	1	+	20	-4.76	21	21	4
chr10	26970951	26970952	AluID:178346	chr10:26855221:26855222	+	21	-5.34	5	2	5
chr10	27052008	27052009	AluID:178347	chr10:26988331:26988332	+	22	-6.28	18	18	5
chr10	27168974	27168975	AluID:178395	chr10:27107557:27107558	-	18	2.14	18	18	5
chr10	27376095	27376096	AluID:178435	chr10:27317514:27317515	-	21	2.79	21	21	7
chr10	27463028	27463029	AluID:178477	chr10:27404181:27404182	-	21	2.80	8	7	8
chr10	27464457	27464458	AluID:178478	chr10:27405603:27405604	-	19	-1.03	5	5	5
chr10	27562372	27562373	AluID:178534	-1	-	20	-5.17	13	13	4
chr10	28337208	28337209	AluID:178620	chr10:28222182:28222183	-	18	-12.67	7	6	7
chr10	28529046	28529047	AluID:178657	chr10:28410171:28410172	-	18	-5.01	NA	2	NA
chr10	28563456	28563457	AluID:178662	chr10:28444533:28444534	-	21	-5.11	14	14	6
chr10	28632073	28632074	AluID:178692	chr10:28511773:28511774	-	19	-4.79	17	17	6
chr10	28633414	28633415	AluID:178694	chr10:28513112:28513113	-	22	4.21	6	6	5
chr10	28743792	28743793	AluID:178745	chr10:28618560:28618561	-	22	-2.66	11	11	7
chr10	28990220	28990221	AluID:178762	chr10:28857685:28857686	+	21	1.73	5	3	5
chr10	28994612	28994613	AluID:178764	1	+	20	-28.12	6	5	6
chr10	29952788	29952789	AluID:178811	chr10:29798768:29798769	-	18	-4.20	12	12	6
chr10	30033322	30033323	AluID:178841	-1	-	20	-5.74	24	24	6
chr10	30046319	30046320	AluID:178844	chr10:29891905:29891906	-	19	-17.18	7	7	5
chr10	31386609	31386610	AluID:179015	chr10:31219551:31219552	-	18	-21.12	4	4	2
chr10	3149591	3149592	AluID:174872	chr10:3135845:3135846	+	22	-5.84	24	24	6
chr10	31854936	31854937	AluID:179050	chr10:31685952:31685953	+	21	-5.08	7	6	7
chr10	32340278	32340279	AluID:179078	-1	-	20	-12.12	7	5	7
chr10	3234434	3234435	AluID:174891	chr10:3214032:3214033	-	21	-21.12	6	6	2
chr10	32386110	32386111	AluID:179094	chr10:32209383:32209384	-	19	-5.16	13	13	5
chr10	32731425	32731426	AluID:179118	-1	-	20	-4.60	12	12	9
chr10	34768413	34768414	AluID:179293	chr10:34594891:34594892	-	21	-12.85	NA	6	NA
chr10	34880887	34880888	AluID:179322	chr10:34703093:34703094	-	19	-3.91	5	2	5
chr10	34952366	34952367	AluID:179344	-1	-	20	3.01	13	13	5
chr10	35070633	35070634	AluID:179381	chr10:34884875:34884876	-	22	-15.07	8	5	8
chr10	35260972	35260973	AluID:179473	chr10:35073132:35073133	-	19	0.73	6	6	6
chr10	35262864	35262865	AluID:179474	chr10:35074606:35074607	-	22	-1.65	7	3	7
chr10	35281003	35281004	AluID:179492	-1	-	20	2.10	6	6	5
chr10	35499496	35499497	AluID:179501	-1	-	20	-6.09	24	24	5
chr10	35550374	35550375	AluID:179535	chr10:35356665:35356666	-	21	9.37	19	19	5
chr10	35564720	35564721	AluID:179545	chr10:35371055:35371056	-	21	1.04	13	13	5
chr10	35657638	35657639	AluID:179578	1	+	20	-5.86	22	22	5
chr10	35663189	35663190	AluID:179579	1	+	20	-6.28	19	19	8
chr10	35787364	35787365	AluID:179632	chr10:35590576:35590577	+	21	0.05	6	4	6
chr10	35788042	35788043	AluID:179634	1	+	20	1.52	14	14	5
chr10	35803129	35803130	AluID:179642	1	+	20	-4.22	9	4	9
chr10	38510267	38510268	AluID:179749	chr10:38262090:38262091	-	21	2.78	16	16	5
chr10	43244507	43244508	AluID:179861	chr10:43886920:43886921	-	18	2.19	19	12	19
chr10	43245272	43245273	AluID:179862	chr10:43887683:43887684	-	19	4.10	5	5	5
chr10	43258366	43258367	AluID:179867	chr10:43899430:43899431	-	18	1.00	15	15	11
chr10	45633028	45633029	AluID:180013	chr10:46120921:46120922	-	21	2.79	26	26	8
chr10	46417326	46417327	AluID:180091	chr10:47053455:47053456	-	19	5.47	9	9	4
chr10	48985689	48985690	AluID:180491	chr10:52347366:52347367	-	22	-9.68	5	4	5
chr10	49467601	49467602	AluID:180518	chr10:52819155:52819156	+	19	-3.11	7	7	5
chr10	49627086	49627087	AluID:180536	1	+	20	-9.28	19	10	19
chr10	50333912	50333913	AluID:180637	chr10:53672703:53672704	+	22	-9.71	7	7	5
chr10	52673484	52673485	AluID:180708	-1	-	20	0.06	5	4	5
chr10	53297640	53297641	AluID:174622	chr10:56623284:56623285	-	22	-11.81	6	4	6
chr10	53304910	53304911	AluID:180764	chr10:56630554:56630555	-	21	-5.95	9	9	7
