chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
chr10	1010140	1010141	AluID:320092	chr20:61933705:61933706	-	19	-23.59	5	3	5
chr10	10833496	10833497	AluID:319578	chr20:52219961:52219962	+	19	-6.60	5	5	5
chr10	1112216	1112217	AluID:320082	chr20:61842142:61842143	+	22	-4.60	14	14	6
chr10	11428824	11428825	AluID:319484	chr20:51614729:51614730	-	22	-6.82	8	8	5
chr10	12235479	12235480	AluID:319478	-1	+	20	-7.88	20	4	20
chr10	12339852	12339853	AluID:319419	chr20:50691746:50691747	+	22	-11.07	6	6	5
chr10	12662548	12662549	AluID:319368	chr20:50365731:50365732	+	19	-11.08	5	5	4
chr10	12685367	12685368	AluID:319341	-1	+	20	-1.74	NA	5	NA
chr10	12773409	12773410	AluID:319269	chr20:50257602:50257603	+	21	-35.07	6	5	6
chr10	12808400	12808401	AluID:319250	chr20:50223390:50223391	+	21	2.93	3	2	3
chr10	12976085	12976086	AluID:319208	chr20:50057814:50057815	+	18	0.84	6	6	4
chr10	13609582	13609583	AluID:319128	chr20:49434029:49434030	-	21	-13.93	13	13	5
chr10	13832822	13832823	AluID:319032	-1	+	20	-1.65	6	6	5
chr10	13920598	13920599	AluID:318997	chr20:49131079:49131080	-	19	-5.64	5	5	4
chr10	14737857	14737858	AluID:318916	chr20:48320420:48320421	+	18	3.54	NA	NA	NA
chr10	14933288	14933289	AluID:318855	chr20:48140316:48140317	+	22	2.64	8	8	5
chr10	15536481	15536482	AluID:318636	chr20:47558868:47558869	-	22	9.58	5	5	5
chr10	15548369	15548370	AluID:318631	1	-	20	-13.89	7	7	6
chr10	16848397	16848398	AluID:318544	chr20:46233385:46233386	-	21	-5.46	7	2	7
chr10	16947850	16947851	AluID:318460	chr20:46139371:46139372	-	22	-13.13	5	5	5
chr10	16951488	16951489	AluID:318459	chr20:46136397:46136398	-	21	-9.43	8	8	5
chr10	17306320	17306321	AluID:318343	chr20:45791176:45791177	-	19	2.66	30	30	5
chr10	17408061	17408062	AluID:318316	chr20:45692634:45692635	-	19	-3.00	6	2	6
chr10	17451104	17451105	AluID:318307	chr20:45650978:45650979	-	18	1.27	5	5	5
chr10	17811651	17811652	AluID:318268	-1	+	20	3.63	6	6	4
chr10	17864669	17864670	AluID:318260	-1	+	20	-19.45	5	4	5
chr10	18053241	18053242	AluID:318240	chr20:45050682:45050683	+	19	4.02	10	10	7
chr10	18388761	18388762	AluID:318215	-1	+	20	1.82	7	7	5
chr10	18575130	18575131	AluID:318195	chr20:44539251:44539252	+	19	2.21	14	14	5
chr10	19540434	19540435	AluID:317979	chr20:43522355:43522356	-	21	-1.08	8	8	7
chr10	19904593	19904594	AluID:317921	chr20:43169943:43169944	-	18	-5.80	6	5	6
chr10	20842682	20842683	AluID:317707	chr20:42246874:42246875	-	18	-5.74	NA	NA	NA
