"aluexon"	"chr_hg19_t"	"start_hg19_t"	"end_hg19_t"	"position_hg19_t"	"strand_hg19_t"	"distance_hg19_t"	"chr_alu_hg19_t"	"start_alu_hg19_t"	"end_alu_hg19_t"	"alu_element_hg19_t"	"alu_substitutions_hg19_t"	"alu_strand_hg19_t"	"chr_hg19"	"start_hg19"	"end_hg19"	"position_hg19"	"strand_hg19"	"distance_hg19"	"3SSS_hg19"	"WU_hg19"	"U1_hg19"	"U2_hg19"	"region_hg19"	"chr_panTro4"	"start_panTro4"	"end_panTro4"	"position_panTro4"	"strand_panTro4"	"distance_panTro4"	"3SSS_panTro4"	"WU_panTro4"	"U1_panTro4"	"U2_panTro4"	"region_panTro4"	"chr_nomLeu1"	"start_nomLeu1"	"end_nomLeu1"	"position_nomLeu1"	"strand_nomLeu1"	"distance_nomLeu1"	"3SSS_nomLeu1"	"WU_nomLeu1"	"U1_nomLeu1"	"U2_nomLeu1"	"region_nomLeu1"	"chr_rheMac3"	"start_rheMac3"	"end_rheMac3"	"position_rheMac3"	"strand_rheMac3"	"distance_rheMac3"	"3SSS_rheMac3"	"WU_rheMac3"	"U1_rheMac3"	"U2_rheMac3"	"region_rheMac3"	"chr_calJac3"	"start_calJac3"	"end_calJac3"	"position_calJac3"	"strand_calJac3"	"distance_calJac3"	"3SSS_calJac3"	"WU_calJac3"	"U1_calJac3"	"U2_calJac3"	"region_calJac3"	"furthest_all"	"furthest"	"UCSCtype"	"dist"	"Exon_Originated"
"Aluexon:1"	"chr1"	146509	146510	"chr1:146509:146510:-"	"-"	12	"chr1"	146229	146522	"AluJr"	"highest"	"-"	"chr1"	146509	146510	"chr1:146509:146510:-"	"-"	12	10.29	7	7	5	"hg19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", NA, NA, NA, NA)"	"hg19"	"cryptic"	"Right arm"	NA
"Aluexon:100"	"chr1"	39989568	39989569	"chr1:39989568:39989569:-"	"-"	77	"chr1"	39989548	39989646	"FLAM_C"	"high"	"-"	"chr1"	39989568	39989569	"chr1:39989568:39989569:-"	"-"	77	4.51	5	5	4	"hg19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", NA, NA, NA, NA)"	"hg19"	"cryptic"	"Left arm"	NA
"Aluexon:1002"	"chr14"	30921126	30921127	"chr14:30921126:30921127:-"	"-"	101	"chr14"	30920918	30921228	"AluSc8"	"low"	"-"	"chr14"	30921126	30921127	"chr14:30921126:30921127:-"	"-"	101	-12.1	7	7	6	"hg19"	"chr14"	29325173	29325174	"chr14:30921126:30921127:-"	"-"	101	-11.86	7	7	6	"panTro4"	"GL397280"	9618551	9618552	"chr14:30921126:30921127:-"	"-"	101	-11.59	7	7	6	"nomLeu1"	"chrUn_JH290359"	397036	397037	"chr14:30921126:30921127:-"	"+"	101	-11.59	7	6	7	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", NA)"	"rheMac3"	"cryptic"	"Left arm"	"Emerging Exon"
"Aluexon:1003"	"chr14"	31552730	31552731	"chr14:31552730:31552731:+"	"+"	28	"chr14"	31552703	31552989	"AluJo"	"moderate"	"+"	"chr14"	31552730	31552731	"chr14:31552730:31552731:+"	"+"	28	2.3	26	26	6	"hg19"	"chr14"	29957179	29957180	"chr14:31552730:31552731:+"	"+"	28	2.3	21	21	7	"panTro4"	"GL397280"	10276124	10276125	"chr14:31552730:31552731:+"	"+"	28	2.3	21	21	6	"nomLeu1"	"chr7"	93793184	93793185	"chr14:31552730:31552731:+"	"+"	28	0.82	13	12	13	"rheMac3"	"chr10"	55285815	55285816	"chr14:31552730:31552731:+"	"+"	28	-0.15	8	8	6	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"alternative"	"Right arm"	"Emerging Exon"
"Aluexon:1004"	"chr14"	31896998	31896999	"chr14:31896998:31896999:-"	"-"	25	"chr14"	31896726	31897024	"AluSg"	"lowest"	"-"	"chr14"	31896998	31896999	"chr14:31896998:31896999:-"	"-"	25	-5.04	19	19	5	"hg19"	"chr14"	30314308	30314309	"chr14:31896998:31896999:-"	"-"	25	3.01	20	20	5	"panTro4"	"GL397280"	10628962	10628963	"chr14:31896998:31896999:-"	"-"	25	3.2	17	17	5	"nomLeu1"	"chr7"	94143513	94143514	"chr14:31896998:31896999:-"	"-"	25	2.82	11	11	5	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", NA)"	"rheMac3"	"cryptic"	"Right arm"	"Emerging Exon"
"Aluexon:1005"	"chr14"	31916775	31916776	"chr14:31916775:31916776:-"	"-"	273	"chr14"	31916745	31917049	"AluSc8"	"lowest"	"-"	"chr14"	31916775	31916776	"chr14:31916775:31916776:-"	"-"	273	-7.28	10	10	7	"hg19"	"chr14"	30332579	30332580	"chr14:31916775:31916776:-"	"-"	273	-8.25	10	10	7	"panTro4"	"GL397292"	7937977	7937978	"chr14:31916775:31916776:-"	"-"	273	-7.28	10	10	7	"nomLeu1"	"chr7"	94162649	94162650	"chr14:31916775:31916776:-"	"-"	273	-6.69	9	9	7	"rheMac3"	"chr10"	55657432	55657433	"chr14:31916775:31916776:-"	"-"	273	-7.56	5	4	5	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Left arm"	"Emerging Exon"
"Aluexon:1007"	"chr14"	31891052	31891053	"chr14:31891052:31891053:+"	"+"	26	"chr14"	31891027	31891213	"FAM"	"moderate"	"+"	"chr14"	31891052	31891053	"chr14:31891052:31891053:+"	"+"	26	3.92	17	17	4	"hg19"	"chr14"	30308368	30308369	"chr14:31891052:31891053:+"	"+"	26	3.92	14	14	4	"panTro4"	"GL397280"	10622719	10622720	"chr14:31891052:31891053:+"	"+"	26	9.64	10	10	4	"nomLeu1"	"chr7"	94137633	94137634	"chr14:31891052:31891053:+"	"+"	26	3.92	10	10	4	"rheMac3"	"chr10"	55624843	55624844	"chr14:31891052:31891053:+"	"+"	26	2.73	8	8	7	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"alternative"	"Right arm"	"Emerging Exon"
"Aluexon:1008"	"chr14"	31891062	31891063	"chr14:31891062:31891063:+"	"+"	36	"chr14"	31891027	31891213	"FAM"	"moderate"	"+"	"chr14"	31891062	31891063	"chr14:31891062:31891063:+"	"+"	36	-22.27	17	17	4	"hg19"	"chr14"	30308378	30308379	"chr14:31891062:31891063:+"	"+"	36	-22.27	14	14	4	"panTro4"	"GL397280"	10622729	10622730	"chr14:31891062:31891063:+"	"+"	36	-21.13	10	10	4	"nomLeu1"	"chr7"	94137643	94137644	"chr14:31891062:31891063:+"	"+"	36	-22.27	10	10	4	"rheMac3"	"chr10"	55624853	55624854	"chr14:31891062:31891063:+"	"+"	36	-21.52	8	8	7	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"alternative"	"Right arm"	"Emerging Exon"
"Aluexon:1009"	"chr14"	24767818	24767819	"chr14:24767818:24767819:+"	"+"	36	"chr14"	24767783	24767950	"AluJo"	"moderate"	"+"	"chr14"	24767818	24767819	"chr14:24767818:24767819:+"	"+"	36	7.43	8	8	6	"hg19"	"chr14"	23149625	23149626	"chr14:24767818:24767819:+"	"+"	36	7.07	11	11	6	"panTro4"	"GL397280"	3439488	3439489	"chr14:24767818:24767819:+"	"+"	36	7.07	11	11	6	"nomLeu1"	"chr7"	86527018	86527019	"chr14:24767818:24767819:+"	"+"	36	2.22	15	15	6	"rheMac3"	"chr10"	48336885	48336886	"chr14:24767818:24767819:+"	"+"	36	7.76	7	4	7	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"alternative"	"Right arm"	"Constant Exon"
"Aluexon:1010"	"chr14"	21976377	21976378	"chr14:21976377:21976378:-"	"-"	28	"chr14"	21976128	21976406	"AluJo"	"highest"	"-"	"chr14"	21976377	21976378	"chr14:21976377:21976378:-"	"-"	28	4.91	5	2	5	"hg19"	"chr14"	20402741	20402742	"chr14:21976377:21976378:-"	"-"	28	6.02	5	2	5	"panTro4"	"GL397280"	718552	718553	"chr14:21976377:21976378:-"	"-"	28	-3.46	7	5	7	"nomLeu1"	"chr7"	83593127	83593128	"chr14:21976377:21976378:-"	"-"	28	4.17	7	6	7	"rheMac3"	"chr10"	45679615	45679616	"chr14:21976377:21976378:-"	"-"	28	4.84	16	2	16	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Right arm"	"Constant Exon"
