chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
chr10	100597627	100597628	AluID:186876	chr10:100597626:100597627	-	19	4.58	13	13	8
chr10	100696741	100696742	AluID:186887	-1	-	20	-5.74	27	27	5
chr10	101425460	101425461	AluID:186959	chr10:101425461:101425462	+	19	-5.09	12	12	4
chr10	101425982	101425983	AluID:186960	chr10:101425981:101425982	+	21	1.48	14	14	6
chr10	101461068	101461069	AluID:186977	chr10:101461067:101461068	+	21	3.01	15	15	7
chr10	101658955	101658956	AluID:187037	chr10:101658957:101658958	-	22	-7.39	7	7	5
chr10	101670955	101670956	AluID:187046	chr10:101670954:101670955	-	19	-18.45	10	10	6
chr10	101683142	101683143	AluID:187058	chr10:101683141:101683142	-	19	0.48	8	8	5
chr10	101714815	101714816	AluID:187069	chr10:101714814:101714815	-	19	-4.70	13	13	5
chr10	101730734	101730735	AluID:187081	-1	-	20	-5.74	27	27	6
chr10	101810774	101810775	AluID:187123	-1	-	20	2.86	7	7	3
chr10	102067413	102067414	AluID:187189	-1	-	20	2.02	6	6	4
chr10	102682399	102682400	AluID:187253	chr10:102682400:102682401	+	19	0.03	17	9	17
chr10	102717114	102717115	AluID:187271	1	+	20	-5.74	37	37	15
chr10	102751981	102751982	AluID:187281	chr10:102751980:102751981	+	21	-5.74	26	26	7
chr10	103117884	103117885	AluID:187304	chr10:103117883:103117884	+	21	-0.46	10	5	10
chr10	103168069	103168070	AluID:187350	chr10:103168070:103168071	+	19	-0.67	9	9	6
chr10	103381277	103381278	AluID:187428	chr10:103381278:103381279	-	21	-4.32	7	7	7
chr10	103629799	103629800	AluID:187493	chr10:103629798:103629799	-	19	0.88	6	5	6
chr10	103638018	103638019	AluID:187504	chr10:103638019:103638020	-	21	-2.94	6	5	6
chr10	103759823	103759824	AluID:187581	-1	-	20	-17.13	7	7	5
chr10	104038053	104038054	AluID:187663	chr10:104038052:104038053	+	21	-11.03	14	14	6
chr10	104047130	104047131	AluID:187665	chr10:104047131:104047132	+	19	4.74	27	27	3
chr10	104091628	104091629	AluID:187688	1	+	20	-5.74	26	26	5
chr10	104100351	104100352	AluID:187695	chr10:104100349:104100350	+	22	7.37	7	7	5
chr10	104119551	104119552	AluID:187702	chr10:104119549:104119550	+	22	-4.78	15	15	4
chr10	104260828	104260829	AluID:187740	chr10:104260830:104260831	-	22	-4.34	12	12	6
chr10	104514186	104514187	AluID:187842	chr10:104514184:104514185	+	22	-17.13	8	8	5
chr10	104550287	104550288	AluID:187877	chr10:104550286:104550287	+	21	-0.26	7	5	7
chr10	1046195	1046196	AluID:174801	1	+	20	-5.74	24	24	6
chr10	104782682	104782683	AluID:188002	chr10:104782683:104782684	+	19	3.10	9	9	6
chr10	104911213	104911214	AluID:188043	chr10:104911215:104911216	-	22	3.94	15	15	5
chr10	104931960	104931961	AluID:188062	chr10:104931959:104931960	-	19	1.48	6	6	6
chr10	104946999	104947000	AluID:188079	-1	-	20	-6.51	7	7	5
chr10	105097828	105097829	AluID:188119	chr10:105097827:105097828	-	19	-6.93	21	21	6
chr10	105140737	105140738	AluID:188144	chr10:105140738:105140739	+	19	-14.25	6	6	5
chr10	105142282	105142283	AluID:188147	chr10:105142281:105142282	+	21	-10.95	12	4	12
chr10	105167358	105167359	AluID:188166	chr10:105167357:105167358	+	21	-13.64	11	4	11
chr10	105180643	105180644	AluID:188180	chr10:105180642:105180643	+	21	-6.50	12	12	5
chr10	105185454	105185455	AluID:188182	chr10:105185452:105185453	+	22	2.84	10	10	5
chr10	105317676	105317677	AluID:188225	chr10:105317674:105317675	+	22	-3.19	9	9	6
chr10	105326745	105326746	AluID:188229	chr10:105326747:105326748	+	18	-4.44	14	14	5
chr10	105327168	105327169	AluID:188230	1	+	20	-1.18	7	7	6
chr10	105391013	105391014	AluID:188240	chr10:105391014:105391015	-	21	-6.95	5	3	5
chr10	106046842	106046843	AluID:188354	chr10:106046840:106046841	+	22	-26.51	5	4	5
chr10	106693596	106693597	AluID:188401	chr10:106693598:106693599	+	18	-0.03	6	6	5
chr10	106702913	106702914	AluID:188402	chr10:106702914:106702915	+	19	-27.89	9	9	4
chr10	1069415	1069416	AluID:174806	chr10:1069417:1069418	-	22	-5.21	17	17	7
chr10	108569972	108569973	AluID:188486	chr10:108569971:108569972	-	19	-3.41	11	11	5
chr10	108574671	108574672	AluID:188488	chr10:108574672:108574673	-	21	2.79	21	21	7
chr10	108722162	108722163	AluID:188533	chr10:108722161:108722162	-	19	-5.14	21	21	5
chr10	108776259	108776260	AluID:188550	chr10:108776258:108776259	-	19	2.36	10	10	5
chr10	108883849	108883850	AluID:188567	chr10:108883848:108883849	-	19	-5.44	16	15	16
chr10	111796155	111796156	AluID:188602	chr10:111796153:111796154	+	22	-4.70	20	20	5
chr10	112043041	112043042	AluID:188640	chr10:112043042:112043043	+	19	-6.01	15	15	10
chr10	112342709	112342710	AluID:188646	chr10:112342710:112342711	+	19	4.77	16	16	6
chr10	114159987	114159988	AluID:188726	chr10:114159989:114159990	+	18	10.64	21	8	21
chr10	114414253	114414254	AluID:188770	chr10:114414254:114414255	+	19	-0.20	7	6	7
chr10	114720781	114720782	AluID:188812	chr10:114720782:114720783	+	19	-1.97	6	6	6
chr10	114731395	114731396	AluID:188817	chr10:114731397:114731398	+	18	-4.86	12	12	5
